date,time,category,type,amount,counterparty
2025-02-09,10:24 AM,Money Received,Credit,90.0,Person_12
2025-02-09,01:35 PM,Person/Merchant Payment,Debit,700.0,Person_6
2025-02-14,09:22 PM,Money Received,Credit,40.0,Person_12
2025-02-14,09:23 PM,Others,Debit,114.0,Person_29
2025-02-14,10:14 PM,Recharge,Debit,19.0,Person_18
2025-02-15,10:56 AM,Person/Merchant Payment,Debit,100.0,Person_6
2025-02-15,10:56 AM,Person/Merchant Payment,Debit,100.0,Person_30
2025-02-17,11:25 AM,Money Received,Credit,5000.0,Person_31
2025-02-19,01:46 PM,Money Received,Credit,80.0,Person_12
2025-02-19,01:47 PM,UPI Lite Top-up,Debit,80.0,Person_4
2025-02-19,04:09 PM,Money Received,Credit,300.0,Person_12
2025-02-19,10:08 PM,UPI Lite Top-up,Debit,317.0,Person_4
2025-02-19,10:08 PM,Person/Merchant Payment,Debit,81.0,Person_6
2025-02-19,10:09 PM,UPI Lite Top-up,Debit,81.0,Person_4
2025-02-20,12:05 PM,Others,Debit,129.0,Person_29
2025-02-20,02:35 PM,Person/Merchant Payment,Debit,293.0,Person_12
2025-02-20,02:36 PM,Money Received,Credit,293.0,Person_12
2025-02-21,02:35 PM,Money Received,Credit,10.0,Person_12
2025-02-21,02:35 PM,UPI Lite Top-up,Debit,10.0,Person_4
2025-02-24,09:42 AM,Person/Merchant Payment,Debit,5000.0,Person_12
2025-02-24,10:04 AM,Money Received,Credit,5000.0,Person_12
2025-02-24,01:54 PM,Money Received,Credit,300.0,Person_12
2025-02-24,02:07 PM,Person/Merchant Payment,Debit,167.0,Person_32
2025-02-27,05:00 PM,Money Received,Credit,50.0,Person_12
2025-02-28,02:07 PM,Person/Merchant Payment,Debit,1000.0,Person_7
2025-02-28,08:30 PM,UPI Lite Top-up,Debit,183.0,Person_4
2025-02-28,08:31 PM,Person/Merchant Payment,Debit,200.0,Person_7
2025-03-01,10:15 AM,Person/Merchant Payment,Debit,1000.0,Person_2
2025-03-01,02:24 PM,Money Received,Credit,195.0,Person_3
2025-03-01,03:33 PM,Person/Merchant Payment,Debit,1510.0,Person_25
2025-03-01,04:15 PM,Person/Merchant Payment,Debit,448.0,Person_33
2025-03-01,06:13 PM,Person/Merchant Payment,Debit,170.0,Person_34
2025-03-01,06:18 PM,Person/Merchant Payment,Debit,257.0,Person_35
2025-03-01,06:54 PM,UPI Lite Top-up,Debit,170.0,Person_4
2025-03-01,07:03 PM,Person/Merchant Payment,Debit,100.0,Person_36
2025-03-01,07:04 PM,Person/Merchant Payment,Debit,50.0,Person_37
2025-03-01,08:57 PM,UPI Lite Top-up,Debit,150.0,Person_4
2025-03-01,09:12 PM,Money Received,Credit,250.0,Person_2
2025-03-01,09:12 PM,Money Received,Credit,36.0,Person_2
2025-03-01,09:15 PM,Person/Merchant Payment,Debit,286.0,Person_7
2025-03-02,02:29 PM,Person/Merchant Payment,Debit,1200.0,Person_12
2025-03-03,05:45 PM,Money Received,Credit,2000.0,Person_38
2025-03-03,07:03 PM,Person/Merchant Payment,Debit,1200.0,Person_7
2025-03-06,06:24 PM,Person/Merchant Payment,Debit,800.0,Person_7
2025-03-08,09:22 PM,Person/Merchant Payment,Debit,65.0,Person_1
2025-03-09,07:30 PM,Person/Merchant Payment,Debit,93.0,Person_17
2025-03-10,08:37 PM,Money Received,Credit,1000.0,Person_12
2025-03-11,06:59 PM,Person/Merchant Payment,Debit,1000.0,Person_7
2025-03-12,12:24 PM,Person/Merchant Payment,Debit,55.0,Person_8
2025-03-12,06:06 PM,Person/Merchant Payment,Debit,1800.0,Person_28
2025-03-15,08:50 AM,Person/Merchant Payment,Debit,10.0,Person_37
2025-03-17,01:08 PM,Money Received,Credit,1800.0,Person_28
2025-03-17,01:23 PM,Person/Merchant Payment,Debit,1800.0,Person_7
2025-03-17,08:35 PM,Person/Merchant Payment,Debit,14.0,Person_22
2025-03-19,01:50 PM,Person/Merchant Payment,Debit,40.0,Person_39
2025-03-20,07:48 PM,Money Received,Credit,100.0,Person_37
2025-03-21,05:13 PM,Person/Merchant Payment,Debit,2500.0,Person_12
2025-03-21,05:18 PM,UPI Lite Top-up,Debit,100.0,Person_4
2025-03-21,05:18 PM,UPI Lite Top-up,Debit,4.0,Person_4
2025-03-21,05:24 PM,Money Received,Credit,100.0,Person_12
2025-03-23,04:43 PM,Money Received,Credit,300.0,Person_12
2025-03-24,07:19 PM,Person/Merchant Payment,Debit,100.0,Person_40
2025-03-24,08:35 PM,Money Received,Credit,200.0,Person_37
2025-03-24,11:37 PM,Money Received,Credit,100.0,Person_1
2025-03-24,11:38 PM,Money Received,Credit,100.0,Person_11
2025-03-24,11:38 PM,Person/Merchant Payment,Debit,400.0,Person_40
2025-03-24,11:48 PM,Person/Merchant Payment,Debit,400.0,Person_7
2025-03-25,07:32 AM,Person/Merchant Payment,Debit,100.0,Person_6
2025-03-25,07:32 AM,Person/Merchant Payment,Debit,300.0,Person_7
2025-03-25,12:07 PM,Money Received,Credit,785.0,Person_41
2025-03-25,03:46 PM,Person/Merchant Payment,Debit,400.0,Person_37
2025-03-26,12:02 PM,Money Received,Credit,25.0,Person_3
2025-03-26,12:03 PM,Person/Merchant Payment,Debit,25.0,Person_11
2025-03-26,01:59 PM,Money Received,Credit,200.0,Person_37
2025-03-26,02:03 PM,Person/Merchant Payment,Debit,500.0,Person_7
2025-03-26,02:04 PM,Person/Merchant Payment,Debit,200.0,Person_37
2025-03-26,02:35 PM,Money Received,Credit,200.0,Person_37
2025-03-26,07:15 PM,Person/Merchant Payment,Debit,100.0,Person_40
2025-03-26,10:22 PM,Money Received,Credit,19.0,Person_12
2025-03-27,12:26 PM,Person/Merchant Payment,Debit,20.0,Person_37
2025-03-27,12:33 PM,Money Received,Credit,53.0,Person_12
2025-03-27,06:55 PM,Person/Merchant Payment,Debit,40.0,Person_42
2025-03-27,09:47 PM,Others,Debit,126.0,Person_29
2025-03-28,12:12 PM,Person/Merchant Payment,Debit,16.0,Person_37
2025-03-29,10:09 AM,Person/Merchant Payment,Debit,32.0,Person_43
2025-03-29,10:15 AM,Money Received,Credit,32.0,Person_12
2025-03-29,10:18 AM,Person/Merchant Payment,Debit,32.0,Person_7
2025-03-29,10:25 AM,Person/Merchant Payment,Debit,83.0,Person_6
2025-03-29,10:25 AM,UPI Lite Top-up,Debit,83.0,Person_4
2025-03-29,10:26 AM,UPI Lite Top-up,Debit,4.0,Person_4
2025-03-29,10:26 AM,Money Received,Credit,4.0,Person_12
2025-03-29,10:27 AM,Others,Debit,95.0,Person_29
2025-03-29,11:52 AM,Money Received,Credit,680.0,Person_37
2025-04-02,05:27 PM,Person/Merchant Payment,Debit,1200.0,Person_12
2025-04-04,12:39 PM,Person/Merchant Payment,Debit,20.0,Person_37
2025-04-04,03:10 PM,Money Received,Credit,3000.0,Person_11
2025-04-04,03:11 PM,Person/Merchant Payment,Debit,3000.0,Person_12
2025-04-06,09:57 AM,Person/Merchant Payment,Debit,1800.0,Person_12
2025-04-06,09:58 AM,Person/Merchant Payment,Debit,200.0,Person_12
2025-04-06,10:03 AM,Person/Merchant Payment,Debit,100.0,Person_11
2025-04-06,12:35 PM,Person/Merchant Payment,Debit,36.0,Person_12
2025-04-06,07:00 PM,Money Received,Credit,14.0,Person_2
2025-04-07,04:39 PM,Money Received,Credit,200.0,Person_37
2025-04-07,06:14 PM,Money Received,Credit,200.0,Person_2
2025-04-07,06:19 PM,Person/Merchant Payment,Debit,200.0,Person_40
2025-04-07,08:36 PM,Money Received,Credit,22.0,Person_37
2025-04-07,09:00 PM,Money Received,Credit,200.0,Person_3
2025-04-07,09:01 PM,Person/Merchant Payment,Debit,300.0,Person_44
2025-04-10,01:33 PM,Person/Merchant Payment,Debit,70.0,Person_45
2025-04-11,01:13 PM,Money Received,Credit,35.0,Person_45
2025-04-11,01:13 PM,Money Received,Credit,70.0,Person_12
2025-04-11,01:35 PM,Person/Merchant Payment,Debit,31.0,Person_15
2025-04-11,07:04 PM,Money Received,Credit,1000.0,Person_12
2025-04-12,09:11 AM,Money Received,Credit,2000.0,Person_12
2025-04-12,11:20 AM,Person/Merchant Payment,Debit,50.0,Person_45
2025-04-13,12:18 PM,Person/Merchant Payment,Debit,2000.0,Person_45
2025-04-13,12:36 PM,Money Received,Credit,2000.0,Person_12
2025-04-13,02:47 PM,Money Received,Credit,300.0,Person_12
2025-04-13,02:47 PM,Person/Merchant Payment,Debit,300.0,Person_12
2025-04-13,04:50 PM,Money Received,Credit,1700.0,Person_45
2025-04-13,04:53 PM,Person/Merchant Payment,Debit,1700.0,Person_44
2025-04-13,11:09 PM,Person/Merchant Payment,Debit,100.0,Person_46
2025-04-14,09:03 AM,Person/Merchant Payment,Debit,1079.0,Person_12
2025-04-14,10:05 AM,Shopping,Debit,467.0,FLIPKART PAYMENTS
2025-04-15,04:05 PM,Person/Merchant Payment,Debit,80.0,Person_47
2025-04-15,07:13 PM,Money Received,Credit,3000.0,Person_45
2025-04-15,07:19 PM,Person/Merchant Payment,Debit,3000.0,Person_44
2025-04-15,07:23 PM,Money Received,Credit,500.0,Person_45
2025-04-15,08:29 PM,Person/Merchant Payment,Debit,800.0,Person_48
2025-04-16,01:44 PM,Money Received,Credit,200.0,Person_11
2025-04-16,01:45 PM,Money Received,Credit,200.0,Person_1
2025-04-16,02:54 PM,Person/Merchant Payment,Debit,330.0,Person_49
2025-04-16,02:56 PM,Person/Merchant Payment,Debit,10.0,Person_34
2025-04-16,07:30 PM,Person/Merchant Payment,Debit,60.0,Person_11
2025-04-17,07:30 PM,Money Received,Credit,100.0,Person_45
2025-04-18,09:51 AM,Money Received,Credit,40.0,Person_12
2025-04-18,09:51 AM,Money Received,Credit,2600.0,Person_50
2025-04-18,09:52 AM,Person/Merchant Payment,Debit,2640.0,Person_12
2025-04-18,11:21 AM,Person/Merchant Payment,Debit,4000.0,Person_45
2025-04-18,02:30 PM,Person/Merchant Payment,Debit,300.0,Person_51
2025-04-18,02:38 PM,Person/Merchant Payment,Debit,260.0,Person_52
2025-04-18,02:58 PM,Person/Merchant Payment,Debit,50.0,Person_12
2025-04-18,02:59 PM,Person/Merchant Payment,Debit,10.0,Person_12
2025-04-18,03:16 PM,Person/Merchant Payment,Debit,60.0,Person_53
2025-04-19,03:24 PM,Money Received,Credit,2000.0,Person_45
2025-04-19,03:27 PM,Person/Merchant Payment,Debit,2000.0,Person_44
2025-04-20,07:59 AM,Money Received,Credit,30.0,Person_45
2025-04-20,08:00 AM,Person/Merchant Payment,Debit,30.0,Person_45
2025-04-20,01:03 PM,Person/Merchant Payment,Debit,2500.0,Person_45
2025-04-20,01:05 PM,Money Received,Credit,1000.0,Person_45
2025-04-20,01:19 PM,Money Received,Credit,3000.0,Person_12
2025-04-20,01:22 PM,Person/Merchant Payment,Debit,1000.0,Person_44
2025-04-20,03:05 PM,Person/Merchant Payment,Debit,530.0,Person_54
2025-04-20,03:26 PM,Money Received,Credit,1300.0,Person_45
2025-04-20,03:29 PM,Person/Merchant Payment,Debit,1300.0,Person_44
2025-04-21,01:43 PM,Person/Merchant Payment,Debit,500.0,Person_45
2025-04-21,07:59 PM,Money Received,Credit,2000.0,Person_55
2025-04-23,08:24 PM,Money Received,Credit,500.0,Person_45
2025-04-23,08:26 PM,Person/Merchant Payment,Debit,500.0,Person_44
2025-04-24,09:00 PM,Money Received,Credit,1500.0,Person_37
2025-04-24,09:03 PM,Person/Merchant Payment,Debit,1500.0,Person_56
2025-04-24,10:29 PM,Money Received,Credit,500.0,Person_45
2025-04-25,09:04 AM,Money Received,Credit,2000.0,Person_57
2025-04-25,09:29 AM,Person/Merchant Payment,Debit,20.0,Person_58
2025-04-25,11:53 AM,Money Received,Credit,500.0,Person_59
2025-04-25,12:13 PM,Person/Merchant Payment,Debit,4000.0,Person_60
2025-04-25,12:27 PM,Person/Merchant Payment,Debit,8.0,Person_11
2025-04-25,12:27 PM,Person/Merchant Payment,Debit,500.0,Person_7
2025-04-25,01:08 PM,Person/Merchant Payment,Debit,10.0,Person_61
2025-04-25,03:26 PM,Person/Merchant Payment,Debit,120.0,Person_62
2025-04-25,03:46 PM,Money Received,Credit,120.0,Person_37
2025-04-25,10:13 PM,Money Received,Credit,1700.0,Person_37
2025-04-25,10:18 PM,Person/Merchant Payment,Debit,1700.0,Person_63
2025-04-26,11:17 AM,Person/Merchant Payment,Debit,350.0,Person_11
2025-04-26,01:58 PM,Person/Merchant Payment,Debit,500.0,Person_45
2025-04-26,04:15 PM,Person/Merchant Payment,Debit,150.0,Person_33
2025-04-26,04:33 PM,Food & Dining,Debit,30.0,Person_64
2025-04-26,06:57 PM,Money Received,Credit,350.0,Person_1
2025-04-26,06:57 PM,Money Received,Credit,350.0,Person_65
2025-04-26,07:15 PM,Money Received,Credit,350.0,Person_11
2025-04-26,07:17 PM,Money Received,Credit,1000.0,Person_11
2025-04-26,07:20 PM,Person/Merchant Payment,Debit,900.0,Person_49
2025-04-26,07:33 PM,Person/Merchant Payment,Debit,60.0,Person_39
2025-04-26,08:14 PM,Person/Merchant Payment,Debit,2000.0,Person_63
2025-04-26,10:30 PM,Person/Merchant Payment,Debit,50.0,Person_10
2025-04-27,01:56 PM,Person/Merchant Payment,Debit,2850.0,Person_45
2025-04-27,08:35 PM,Money Received,Credit,2500.0,Person_66
2025-04-27,08:40 PM,Person/Merchant Payment,Debit,2000.0,Person_67
2025-04-28,11:26 AM,Money Received,Credit,1000.0,Person_68
2025-04-28,11:26 AM,Person/Merchant Payment,Debit,1000.0,Person_11
2025-04-28,04:08 PM,Money Received,Credit,20000.0,Person_12
2025-04-28,04:09 PM,Money Received,Credit,5000.0,Person_12
2025-04-28,04:16 PM,Person/Merchant Payment,Debit,25000.0,Person_7
2025-04-28,07:31 PM,Person/Merchant Payment,Debit,2000.0,Person_45
2025-04-29,10:09 AM,Money Received,Credit,7000.0,Person_12
2025-04-29,10:11 AM,Person/Merchant Payment,Debit,351.0,Person_7
2025-04-29,10:11 AM,Person/Merchant Payment,Debit,7000.0,Person_7
2025-04-29,10:11 AM,Money Received,Credit,351.0,Person_12
2025-04-30,08:03 AM,Person/Merchant Payment,Debit,1000.0,Person_69
2025-04-30,08:07 AM,Person/Merchant Payment,Debit,1000.0,Person_28
2025-04-30,08:10 AM,Money Received,Credit,1000.0,Person_70
2025-04-30,05:12 PM,Person/Merchant Payment,Debit,1000.0,Person_7
2025-04-30,05:14 PM,Person/Merchant Payment,Debit,500.0,Person_28
2025-04-30,05:29 PM,Money Received,Credit,65.0,Person_15
2025-04-30,05:29 PM,Money Received,Credit,65.0,Person_1
2025-05-01,10:00 AM,Person/Merchant Payment,Debit,500.0,Person_71
2025-05-01,05:25 PM,Money Received,Credit,50.0,Person_15
2025-05-01,05:26 PM,Money Received,Credit,50.0,Person_17
2025-05-01,05:26 PM,Money Received,Credit,50.0,Person_1
2025-05-01,06:21 PM,Money Received,Credit,89.0,Person_11
2025-05-01,06:29 PM,Person/Merchant Payment,Debit,340.0,Person_49
2025-05-01,06:59 PM,Person/Merchant Payment,Debit,10.0,Person_72
2025-05-02,08:57 AM,Money Received,Credit,2000.0,Person_37
2025-05-02,09:01 AM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-02,06:17 PM,Person/Merchant Payment,Debit,6.0,Person_8
2025-05-02,10:29 PM,Person/Merchant Payment,Debit,1000.0,Person_11
2025-05-02,10:36 PM,Money Received,Credit,500.0,Person_37
2025-05-02,11:47 PM,Money Received,Credit,500.0,Person_71
2025-05-03,06:19 PM,Money Received,Credit,500.0,Person_37
2025-05-03,07:05 PM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-03,07:06 PM,Person/Merchant Payment,Debit,500.0,Person_7
2025-05-03,07:06 PM,UPI Lite Top-up,Debit,500.0,Person_4
2025-05-03,09:25 PM,Person/Merchant Payment,Debit,500.0,Person_73
2025-05-04,08:46 PM,Person/Merchant Payment,Debit,6000.0,Person_45
2025-05-05,12:18 PM,Person/Merchant Payment,Debit,1000.0,Person_58
2025-05-05,03:45 PM,Person/Merchant Payment,Debit,50.0,Person_33
2025-05-05,07:43 PM,Person/Merchant Payment,Debit,100.0,Person_74
2025-05-06,07:28 PM,Person/Merchant Payment,Debit,4000.0,Person_74
2025-05-06,08:57 PM,Person/Merchant Payment,Debit,1000.0,Person_28
2025-05-06,09:03 PM,Person/Merchant Payment,Debit,1000.0,Person_7
2025-05-06,09:55 PM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-06,09:57 PM,Person/Merchant Payment,Debit,200.0,Person_6
2025-05-06,11:27 PM,Money Received,Credit,500.0,Person_37
2025-05-06,11:29 PM,Person/Merchant Payment,Debit,500.0,Person_45
2025-05-07,11:14 AM,Person/Merchant Payment,Debit,1000.0,Person_28
2025-05-07,11:20 AM,Money Received,Credit,1000.0,Person_71
2025-05-07,02:20 PM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-08,02:13 PM,Person/Merchant Payment,Debit,3500.0,Person_71
2025-05-08,09:03 PM,Person/Merchant Payment,Debit,500.0,Person_75
2025-05-08,09:26 PM,Money Received,Credit,3500.0,Person_71
2025-05-08,10:03 PM,Money Received,Credit,500.0,Person_28
2025-05-09,09:35 AM,Person/Merchant Payment,Debit,3500.0,Person_7
2025-05-09,09:36 AM,Person/Merchant Payment,Debit,26.0,Person_15
2025-05-09,01:42 PM,Person/Merchant Payment,Debit,30.0,Person_72
2025-05-09,03:45 PM,Person/Merchant Payment,Debit,149.0,Person_45
2025-05-12,10:46 AM,Money Received,Credit,1000.0,Person_2
2025-05-12,12:36 PM,Person/Merchant Payment,Debit,80.0,Person_15
2025-05-12,12:36 PM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-12,08:47 PM,Person/Merchant Payment,Debit,1000.0,Person_71
2025-05-13,12:04 PM,Person/Merchant Payment,Debit,699.0,Person_76
2025-05-14,01:20 PM,Money Received,Credit,1000.0,Person_71
2025-05-15,10:00 AM,Person/Merchant Payment,Debit,500.0,Person_58
2025-05-15,10:25 AM,Person/Merchant Payment,Debit,500.0,Person_58
2025-05-15,10:47 AM,Money Received,Credit,50.0,Person_37
2025-05-15,10:55 AM,Person/Merchant Payment,Debit,10.0,Person_8
2025-05-15,01:11 PM,Person/Merchant Payment,Debit,25.0,Person_72
2025-05-15,01:47 PM,Person/Merchant Payment,Debit,1000.0,Person_77
2025-05-15,07:05 PM,Money Received,Credit,1000.0,Person_3
2025-05-15,07:08 PM,Person/Merchant Payment,Debit,10.0,Person_3
2025-05-15,07:10 PM,Money Received,Credit,10.0,Person_3
2025-05-15,07:58 PM,Money Received,Credit,5.0,Person_45
2025-05-15,09:04 PM,Person/Merchant Payment,Debit,2000.0,Person_78
2025-05-15,09:05 PM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-16,08:44 AM,Money Received,Credit,35.0,Person_1
2025-05-16,07:02 PM,Money Received,Credit,49500.0,Person_12
2025-05-16,07:18 PM,UPI Lite Top-up,Debit,300.0,Person_4
2025-05-16,07:44 PM,UPI Lite Top-up,Debit,100.0,Person_4
2025-05-16,07:46 PM,Money Received,Credit,10.0,Person_15
2025-05-16,07:46 PM,Person/Merchant Payment,Debit,10.0,Person_15
2025-05-17,01:02 PM,Education/Fees,Debit,1680.0,Person_5
2025-05-17,01:09 PM,Person/Merchant Payment,Debit,30.0,Person_8
2025-05-17,02:39 PM,Money Received,Credit,50500.0,Person_12
2025-05-17,02:53 PM,UPI Lite Top-up,Debit,1000.0,Person_4
2025-05-17,02:54 PM,Person/Merchant Payment,Debit,1680.0,Person_7
2025-05-17,02:58 PM,Person/Merchant Payment,Debit,10000.0,Person_7
2025-05-17,03:28 PM,Person/Merchant Payment,Debit,2600.0,Person_11
2025-05-17,08:06 PM,Money Received,Credit,20.0,Person_17
2025-05-17,08:25 PM,UPI Lite Top-up,Debit,20.0,Person_4
2025-05-19,07:53 AM,Person/Merchant Payment,Debit,200.0,Person_58
2025-05-19,09:52 AM,Person/Merchant Payment,Debit,40.0,Person_8
2025-05-19,01:52 PM,Money Received,Credit,300.0,Person_12
2025-05-19,03:20 PM,Person/Merchant Payment,Debit,3800.0,Person_45
2025-05-19,07:22 PM,Person/Merchant Payment,Debit,2000.0,Person_79
2025-05-20,12:51 PM,Money Received,Credit,200.0,Person_2
2025-05-20,12:57 PM,Person/Merchant Payment,Debit,25.0,Person_2
2025-05-20,06:15 PM,Person/Merchant Payment,Debit,60.0,Person_10
2025-05-20,07:45 PM,Person/Merchant Payment,Debit,760.0,Person_80
2025-05-21,03:16 PM,Person/Merchant Payment,Debit,8240.0,Person_76
2025-05-21,03:17 PM,UPI Lite Top-up,Debit,385.0,Person_4
2025-05-21,05:03 PM,Person/Merchant Payment,Debit,20.0,Person_81
2025-05-21,05:31 PM,Person/Merchant Payment,Debit,200.0,Person_82
2025-05-22,10:48 AM,Person/Merchant Payment,Debit,1230.0,Person_83
2025-05-22,02:47 PM,Money Received,Credit,2500.0,Person_37
2025-05-22,03:06 PM,Person/Merchant Payment,Debit,2100.0,Person_12
2025-05-23,01:54 PM,Person/Merchant Payment,Debit,1000.0,Person_84
2025-05-24,05:20 PM,Money Received,Credit,8000.0,Person_1
2025-05-24,05:21 PM,Person/Merchant Payment,Debit,8000.0,Person_45
2025-05-25,10:44 AM,Money Received,Credit,2100.0,Person_59
2025-05-25,01:02 PM,Person/Merchant Payment,Debit,20.0,Person_85
2025-05-25,01:05 PM,Person/Merchant Payment,Debit,150.0,Person_86
2025-05-25,04:37 PM,Person/Merchant Payment,Debit,1500.0,Person_12
2025-05-25,09:05 PM,Money Received,Credit,1000.0,Person_84
2025-05-27,04:27 PM,Person/Merchant Payment,Debit,100.0,Person_87
2025-05-28,11:35 AM,Money Received,Credit,1000.0,Person_88
2025-05-28,01:03 PM,Money Received,Credit,500.0,Person_12
