id,date,time,category,type,amount,counterparty,month
39,2025-01-15,"08:19 PM","Money Received",Credit,1.00,Person_12,2025-01
40,2025-01-15,"08:19 PM","Money Received",Credit,5.00,Person_12,2025-01
41,2025-01-15,"08:21 PM",Recharge,Debit,19.00,Person_18,2025-01
42,2025-01-15,"08:22 PM","UPI Lite Top-up",Debit,10.00,Person_4,2025-01
43,2025-01-15,"08:24 PM","Money Received",Credit,12.00,Person_1,2025-01
44,2025-01-15,"08:25 PM","UPI Lite Top-up",Debit,38.00,Person_4,2025-01
45,2025-01-17,"08:42 PM","Money Received",Credit,11.00,Person_15,2025-01
46,2025-01-18,"02:25 PM","Money Received",Credit,13.00,Person_17,2025-01
47,2025-01-18,"02:30 PM","Money Received",Credit,1000.00,Person_12,2025-01
48,2025-01-18,"08:00 PM","Money Received",Credit,60.00,Person_1,2025-01
49,2025-01-19,"01:57 PM","Person/Merchant Payment",Debit,500.00,Person_12,2025-01
50,2025-01-19,"02:03 PM","Money Received",Credit,500.00,Person_12,2025-01
51,2025-01-19,"06:00 PM","Person/Merchant Payment",Debit,400.00,Person_7,2025-01
52,2025-01-19,"06:13 PM","UPI Lite Top-up",Debit,50.00,Person_4,2025-01
53,2025-01-20,"09:51 AM","Money Received",Credit,80.00,Person_2,2025-01
54,2025-01-20,"10:13 AM","Person/Merchant Payment",Debit,42.00,Person_19,2025-01
55,2025-01-20,"10:26 AM","Food & Dining",Debit,40.00,Person_20,2025-01
56,2025-01-20,"10:45 AM","Person/Merchant Payment",Debit,100.00,Person_21,2025-01
57,2025-01-24,"06:27 PM","UPI Lite Top-up",Debit,21.00,Person_4,2025-01
58,2025-01-24,"07:12 PM","Money Received",Credit,500.00,Person_12,2025-01
59,2025-01-25,"08:29 AM","Person/Merchant Payment",Debit,200.00,Person_7,2025-01
60,2025-01-25,"08:33 AM","Person/Merchant Payment",Debit,200.00,Person_6,2025-01
61,2025-01-25,"08:33 AM","UPI Lite Top-up",Debit,200.00,Person_4,2025-01
62,2025-01-26,"11:17 AM","Person/Merchant Payment",Debit,20.00,Person_22,2025-01
63,2025-01-26,"11:22 AM","Money Received",Credit,10.00,Person_3,2025-01
64,2025-01-26,"11:26 AM","UPI Lite Top-up",Debit,20.00,Person_4,2025-01
65,2025-01-26,"04:33 PM","Money Received",Credit,20.00,Person_23,2025-01
66,2025-01-26,"05:43 PM","Money Received",Credit,20.00,Person_3,2025-01
67,2025-01-28,"07:44 PM","Person/Merchant Payment",Debit,500.00,Person_24,2025-01
68,2025-01-29,"03:13 PM","Person/Merchant Payment",Debit,300.00,Person_7,2025-01
69,2025-01-29,"03:14 PM","Person/Merchant Payment",Debit,300.00,Person_6,2025-01
70,2025-01-29,"03:30 PM","Person/Merchant Payment",Debit,2678.00,Person_25,2025-01
71,2025-01-29,"03:32 PM","Person/Merchant Payment",Debit,29.00,Person_25,2025-01
72,2025-01-29,"03:39 PM","Person/Merchant Payment",Debit,83.96,Person_26,2025-01
73,2025-01-29,"05:01 PM","Person/Merchant Payment",Debit,700.00,Person_27,2025-01
74,2025-01-29,"06:01 PM","Money Received",Credit,130.00,Person_3,2025-01
75,2025-02-04,"09:24 PM","Person/Merchant Payment",Debit,1000.00,Person_28,2025-02
76,2025-02-06,"02:34 PM","Money Received",Credit,1000.00,Person_28,2025-02
77,2025-02-06,"03:39 PM","Person/Merchant Payment",Debit,1000.00,Person_7,2025-02
78,2025-02-06,"09:38 PM","Person/Merchant Payment",Debit,1000.00,Person_11,2025-02
79,2025-02-09,"10:00 AM","Person/Merchant Payment",Debit,20000.00,Person_12,2025-02
80,2025-02-09,"10:03 AM","Money Received",Credit,1.00,Person_12,2025-02
81,2025-02-09,"10:03 AM","Person/Merchant Payment",Debit,1.00,Person_7,2025-02
82,2025-02-09,"10:24 AM",Others,Debit,139.00,Person_29,2025-02
83,2025-02-09,"10:24 AM","Money Received",Credit,90.00,Person_12,2025-02
84,2025-02-09,"01:35 PM","Person/Merchant Payment",Debit,700.00,Person_6,2025-02
85,2025-02-14,"09:22 PM","Money Received",Credit,40.00,Person_12,2025-02
86,2025-02-14,"09:23 PM",Others,Debit,114.00,Person_29,2025-02
87,2025-02-14,"10:14 PM",Recharge,Debit,19.00,Person_18,2025-02
88,2025-02-15,"10:56 AM","Person/Merchant Payment",Debit,100.00,Person_6,2025-02
89,2025-02-15,"10:56 AM","Person/Merchant Payment",Debit,100.00,Person_30,2025-02
90,2025-02-17,"11:25 AM","Money Received",Credit,5000.00,Person_31,2025-02
91,2025-02-19,"01:46 PM","Money Received",Credit,80.00,Person_12,2025-02
92,2025-02-19,"01:47 PM","UPI Lite Top-up",Debit,80.00,Person_4,2025-02
93,2025-02-19,"04:09 PM","Money Received",Credit,300.00,Person_12,2025-02
94,2025-02-19,"10:08 PM","UPI Lite Top-up",Debit,317.00,Person_4,2025-02
95,2025-02-19,"10:08 PM","Person/Merchant Payment",Debit,81.00,Person_6,2025-02
96,2025-02-19,"10:09 PM","UPI Lite Top-up",Debit,81.00,Person_4,2025-02
97,2025-02-20,"12:05 PM",Others,Debit,129.00,Person_29,2025-02
98,2025-02-20,"02:35 PM","Person/Merchant Payment",Debit,293.00,Person_12,2025-02
99,2025-02-20,"02:36 PM","Money Received",Credit,293.00,Person_12,2025-02
100,2025-02-21,"02:35 PM","Money Received",Credit,10.00,Person_12,2025-02
101,2025-02-21,"02:35 PM","UPI Lite Top-up",Debit,10.00,Person_4,2025-02
102,2025-02-24,"09:42 AM","Person/Merchant Payment",Debit,5000.00,Person_12,2025-02
103,2025-02-24,"10:04 AM","Money Received",Credit,5000.00,Person_12,2025-02
104,2025-02-24,"01:54 PM","Money Received",Credit,300.00,Person_12,2025-02
105,2025-02-24,"02:07 PM","Person/Merchant Payment",Debit,167.00,Person_32,2025-02
106,2025-02-27,"05:00 PM","Money Received",Credit,50.00,Person_12,2025-02
107,2025-02-28,"02:07 PM","Person/Merchant Payment",Debit,1000.00,Person_7,2025-02
108,2025-02-28,"08:30 PM","UPI Lite Top-up",Debit,183.00,Person_4,2025-02
109,2025-02-28,"08:31 PM","Person/Merchant Payment",Debit,200.00,Person_7,2025-02
110,2025-03-01,"10:15 AM","Person/Merchant Payment",Debit,1000.00,Person_2,2025-03
111,2025-03-01,"02:24 PM","Money Received",Credit,195.00,Person_3,2025-03
112,2025-03-01,"03:33 PM","Person/Merchant Payment",Debit,1510.00,Person_25,2025-03
113,2025-03-01,"04:15 PM","Person/Merchant Payment",Debit,448.00,Person_33,2025-03
114,2025-03-01,"06:13 PM","Person/Merchant Payment",Debit,170.00,Person_34,2025-03
115,2025-03-01,"06:18 PM","Person/Merchant Payment",Debit,257.00,Person_35,2025-03
116,2025-03-01,"06:54 PM","UPI Lite Top-up",Debit,170.00,Person_4,2025-03
117,2025-03-01,"07:03 PM","Person/Merchant Payment",Debit,100.00,Person_36,2025-03
118,2025-03-01,"07:04 PM","Person/Merchant Payment",Debit,50.00,Person_37,2025-03
119,2025-03-01,"08:57 PM","UPI Lite Top-up",Debit,150.00,Person_4,2025-03
120,2025-03-01,"09:12 PM","Money Received",Credit,250.00,Person_2,2025-03
121,2025-03-01,"09:12 PM","Money Received",Credit,36.00,Person_2,2025-03
122,2025-03-01,"09:15 PM","Person/Merchant Payment",Debit,286.00,Person_7,2025-03
123,2025-03-02,"02:29 PM","Person/Merchant Payment",Debit,1200.00,Person_12,2025-03
124,2025-03-03,"05:45 PM","Money Received",Credit,2000.00,Person_38,2025-03
125,2025-03-03,"07:03 PM","Person/Merchant Payment",Debit,1200.00,Person_7,2025-03
126,2025-03-06,"06:24 PM","Person/Merchant Payment",Debit,800.00,Person_7,2025-03
127,2025-03-08,"09:22 PM","Person/Merchant Payment",Debit,65.00,Person_1,2025-03
128,2025-03-09,"07:30 PM","Person/Merchant Payment",Debit,93.00,Person_17,2025-03
129,2025-03-10,"08:37 PM","Money Received",Credit,1000.00,Person_12,2025-03
130,2025-03-11,"06:59 PM","Person/Merchant Payment",Debit,1000.00,Person_7,2025-03
131,2025-03-12,"12:24 PM","Person/Merchant Payment",Debit,55.00,Person_8,2025-03
132,2025-03-12,"06:06 PM","Person/Merchant Payment",Debit,1800.00,Person_28,2025-03
133,2025-03-15,"08:50 AM","Person/Merchant Payment",Debit,10.00,Person_37,2025-03
134,2025-03-17,"01:08 PM","Money Received",Credit,1800.00,Person_28,2025-03
135,2025-03-17,"01:23 PM","Person/Merchant Payment",Debit,1800.00,Person_7,2025-03
136,2025-03-17,"08:35 PM","Person/Merchant Payment",Debit,14.00,Person_22,2025-03
137,2025-03-19,"01:50 PM","Person/Merchant Payment",Debit,40.00,Person_39,2025-03
138,2025-03-20,"07:48 PM","Money Received",Credit,100.00,Person_37,2025-03
139,2025-03-21,"05:13 PM","Person/Merchant Payment",Debit,2500.00,Person_12,2025-03
140,2025-03-21,"05:18 PM","UPI Lite Top-up",Debit,100.00,Person_4,2025-03
141,2025-03-21,"05:18 PM","UPI Lite Top-up",Debit,4.00,Person_4,2025-03
142,2025-03-21,"05:24 PM","Money Received",Credit,100.00,Person_12,2025-03
143,2025-03-23,"04:43 PM","Money Received",Credit,300.00,Person_12,2025-03
144,2025-03-24,"07:19 PM","Person/Merchant Payment",Debit,100.00,Person_40,2025-03
145,2025-03-24,"08:35 PM","Money Received",Credit,200.00,Person_37,2025-03
146,2025-03-24,"11:37 PM","Money Received",Credit,100.00,Person_1,2025-03
147,2025-03-24,"11:38 PM","Money Received",Credit,100.00,Person_11,2025-03
148,2025-03-24,"11:38 PM","Person/Merchant Payment",Debit,400.00,Person_40,2025-03
149,2025-03-24,"11:48 PM","Person/Merchant Payment",Debit,400.00,Person_7,2025-03
150,2025-03-25,"07:32 AM","Person/Merchant Payment",Debit,100.00,Person_6,2025-03
151,2025-03-25,"07:32 AM","Person/Merchant Payment",Debit,300.00,Person_7,2025-03
152,2025-03-25,"12:07 PM","Money Received",Credit,785.00,Person_41,2025-03
153,2025-03-25,"03:46 PM","Person/Merchant Payment",Debit,400.00,Person_37,2025-03
154,2025-03-26,"12:02 PM","Money Received",Credit,25.00,Person_3,2025-03
155,2025-03-26,"12:03 PM","Person/Merchant Payment",Debit,25.00,Person_11,2025-03
156,2025-03-26,"01:59 PM","Money Received",Credit,200.00,Person_37,2025-03
157,2025-03-26,"02:03 PM","Person/Merchant Payment",Debit,500.00,Person_7,2025-03
158,2025-03-26,"02:04 PM","Person/Merchant Payment",Debit,200.00,Person_37,2025-03
159,2025-03-26,"02:35 PM","Money Received",Credit,200.00,Person_37,2025-03
160,2025-03-26,"07:15 PM","Person/Merchant Payment",Debit,100.00,Person_40,2025-03
161,2025-03-26,"10:22 PM","Money Received",Credit,19.00,Person_12,2025-03
162,2025-03-27,"12:26 PM","Person/Merchant Payment",Debit,20.00,Person_37,2025-03
163,2025-03-27,"12:33 PM","Money Received",Credit,53.00,Person_12,2025-03
164,2025-03-27,"06:55 PM","Person/Merchant Payment",Debit,40.00,Person_42,2025-03
165,2025-03-27,"09:47 PM",Others,Debit,126.00,Person_29,2025-03
166,2025-03-28,"12:12 PM","Person/Merchant Payment",Debit,16.00,Person_37,2025-03
167,2025-03-29,"10:09 AM","Person/Merchant Payment",Debit,32.00,Person_43,2025-03
168,2025-03-29,"10:15 AM","Money Received",Credit,32.00,Person_12,2025-03
169,2025-03-29,"10:18 AM","Person/Merchant Payment",Debit,32.00,Person_7,2025-03
170,2025-03-29,"10:25 AM","Person/Merchant Payment",Debit,83.00,Person_6,2025-03
171,2025-03-29,"10:25 AM","UPI Lite Top-up",Debit,83.00,Person_4,2025-03
172,2025-03-29,"10:26 AM","UPI Lite Top-up",Debit,4.00,Person_4,2025-03
173,2025-03-29,"10:26 AM","Money Received",Credit,4.00,Person_12,2025-03
174,2025-03-29,"10:27 AM",Others,Debit,95.00,Person_29,2025-03
175,2025-03-29,"11:52 AM","Money Received",Credit,680.00,Person_37,2025-03
176,2025-04-02,"05:27 PM","Person/Merchant Payment",Debit,1200.00,Person_12,2025-04
177,2025-04-04,"12:39 PM","Person/Merchant Payment",Debit,20.00,Person_37,2025-04
178,2025-04-04,"03:10 PM","Money Received",Credit,3000.00,Person_11,2025-04
179,2025-04-04,"03:11 PM","Person/Merchant Payment",Debit,3000.00,Person_12,2025-04
180,2025-04-06,"09:57 AM","Person/Merchant Payment",Debit,1800.00,Person_12,2025-04
181,2025-04-06,"09:58 AM","Person/Merchant Payment",Debit,200.00,Person_12,2025-04
182,2025-04-06,"10:03 AM","Person/Merchant Payment",Debit,100.00,Person_11,2025-04
183,2025-04-06,"12:35 PM","Person/Merchant Payment",Debit,36.00,Person_12,2025-04
184,2025-04-06,"07:00 PM","Money Received",Credit,14.00,Person_2,2025-04
185,2025-04-07,"04:39 PM","Money Received",Credit,200.00,Person_37,2025-04
186,2025-04-07,"06:14 PM","Money Received",Credit,200.00,Person_2,2025-04
187,2025-04-07,"06:19 PM","Person/Merchant Payment",Debit,200.00,Person_40,2025-04
188,2025-04-07,"08:36 PM","Money Received",Credit,22.00,Person_37,2025-04
189,2025-04-07,"09:00 PM","Money Received",Credit,200.00,Person_3,2025-04
190,2025-04-07,"09:01 PM","Person/Merchant Payment",Debit,300.00,Person_44,2025-04
191,2025-04-10,"01:33 PM","Person/Merchant Payment",Debit,70.00,Person_45,2025-04
192,2025-04-11,"01:13 PM","Money Received",Credit,35.00,Person_45,2025-04
193,2025-04-11,"01:13 PM","Money Received",Credit,70.00,Person_12,2025-04
194,2025-04-11,"01:35 PM","Person/Merchant Payment",Debit,31.00,Person_15,2025-04
195,2025-04-11,"07:04 PM","Money Received",Credit,1000.00,Person_12,2025-04
196,2025-04-12,"09:11 AM","Money Received",Credit,2000.00,Person_12,2025-04
197,2025-04-12,"11:20 AM","Person/Merchant Payment",Debit,50.00,Person_45,2025-04
198,2025-04-13,"12:18 PM","Person/Merchant Payment",Debit,2000.00,Person_45,2025-04
199,2025-04-13,"12:36 PM","Money Received",Credit,2000.00,Person_12,2025-04
200,2025-04-13,"02:47 PM","Money Received",Credit,300.00,Person_12,2025-04
201,2025-04-13,"02:47 PM","Person/Merchant Payment",Debit,300.00,Person_12,2025-04
202,2025-04-13,"04:50 PM","Money Received",Credit,1700.00,Person_45,2025-04
203,2025-04-13,"04:53 PM","Person/Merchant Payment",Debit,1700.00,Person_44,2025-04
204,2025-04-13,"11:09 PM","Person/Merchant Payment",Debit,100.00,Person_46,2025-04
205,2025-04-14,"09:03 AM","Person/Merchant Payment",Debit,1079.00,Person_12,2025-04
206,2025-04-14,"10:05 AM",Shopping,Debit,467.00,"FLIPKART PAYMENTS",2025-04
207,2025-04-15,"04:05 PM","Person/Merchant Payment",Debit,80.00,Person_47,2025-04
208,2025-04-15,"07:13 PM","Money Received",Credit,3000.00,Person_45,2025-04
209,2025-04-15,"07:19 PM","Person/Merchant Payment",Debit,3000.00,Person_44,2025-04
210,2025-04-15,"07:23 PM","Money Received",Credit,500.00,Person_45,2025-04
211,2025-04-15,"08:29 PM","Person/Merchant Payment",Debit,800.00,Person_48,2025-04
212,2025-04-16,"01:44 PM","Money Received",Credit,200.00,Person_11,2025-04
213,2025-04-16,"01:45 PM","Money Received",Credit,200.00,Person_1,2025-04
214,2025-04-16,"02:54 PM","Person/Merchant Payment",Debit,330.00,Person_49,2025-04
215,2025-04-16,"02:56 PM","Person/Merchant Payment",Debit,10.00,Person_34,2025-04
216,2025-04-16,"07:30 PM","Person/Merchant Payment",Debit,60.00,Person_11,2025-04
217,2025-04-17,"07:30 PM","Money Received",Credit,100.00,Person_45,2025-04
218,2025-04-18,"09:51 AM","Money Received",Credit,40.00,Person_12,2025-04
219,2025-04-18,"09:51 AM","Money Received",Credit,2600.00,Person_50,2025-04
220,2025-04-18,"09:52 AM","Person/Merchant Payment",Debit,2640.00,Person_12,2025-04
221,2025-04-18,"11:21 AM","Person/Merchant Payment",Debit,4000.00,Person_45,2025-04
222,2025-04-18,"02:30 PM","Person/Merchant Payment",Debit,300.00,Person_51,2025-04
223,2025-04-18,"02:38 PM","Person/Merchant Payment",Debit,260.00,Person_52,2025-04
224,2025-04-18,"02:58 PM","Person/Merchant Payment",Debit,50.00,Person_12,2025-04
225,2025-04-18,"02:59 PM","Person/Merchant Payment",Debit,10.00,Person_12,2025-04
226,2025-04-18,"03:16 PM","Person/Merchant Payment",Debit,60.00,Person_53,2025-04
227,2025-04-19,"03:24 PM","Money Received",Credit,2000.00,Person_45,2025-04
228,2025-04-19,"03:27 PM","Person/Merchant Payment",Debit,2000.00,Person_44,2025-04
229,2025-04-20,"07:59 AM","Money Received",Credit,30.00,Person_45,2025-04
230,2025-04-20,"08:00 AM","Person/Merchant Payment",Debit,30.00,Person_45,2025-04
231,2025-04-20,"01:03 PM","Person/Merchant Payment",Debit,2500.00,Person_45,2025-04
232,2025-04-20,"01:05 PM","Money Received",Credit,1000.00,Person_45,2025-04
233,2025-04-20,"01:19 PM","Money Received",Credit,3000.00,Person_12,2025-04
234,2025-04-20,"01:22 PM","Person/Merchant Payment",Debit,1000.00,Person_44,2025-04
235,2025-04-20,"03:05 PM","Person/Merchant Payment",Debit,530.00,Person_54,2025-04
236,2025-04-20,"03:26 PM","Money Received",Credit,1300.00,Person_45,2025-04
237,2025-04-20,"03:29 PM","Person/Merchant Payment",Debit,1300.00,Person_44,2025-04
238,2025-04-21,"01:43 PM","Person/Merchant Payment",Debit,500.00,Person_45,2025-04
239,2025-04-21,"07:59 PM","Money Received",Credit,2000.00,Person_55,2025-04
240,2025-04-23,"08:24 PM","Money Received",Credit,500.00,Person_45,2025-04
241,2025-04-23,"08:26 PM","Person/Merchant Payment",Debit,500.00,Person_44,2025-04
242,2025-04-24,"09:00 PM","Money Received",Credit,1500.00,Person_37,2025-04
243,2025-04-24,"09:03 PM","Person/Merchant Payment",Debit,1500.00,Person_56,2025-04
244,2025-04-24,"10:29 PM","Money Received",Credit,500.00,Person_45,2025-04
245,2025-04-25,"09:04 AM","Money Received",Credit,2000.00,Person_57,2025-04
246,2025-04-25,"09:29 AM","Person/Merchant Payment",Debit,20.00,Person_58,2025-04
247,2025-04-25,"11:53 AM","Money Received",Credit,500.00,Person_59,2025-04
248,2025-04-25,"12:13 PM","Person/Merchant Payment",Debit,4000.00,Person_60,2025-04
249,2025-04-25,"12:27 PM","Person/Merchant Payment",Debit,8.00,Person_11,2025-04
250,2025-04-25,"12:27 PM","Person/Merchant Payment",Debit,500.00,Person_7,2025-04
251,2025-04-25,"01:08 PM","Person/Merchant Payment",Debit,10.00,Person_61,2025-04
252,2025-04-25,"03:26 PM","Person/Merchant Payment",Debit,120.00,Person_62,2025-04
253,2025-04-25,"03:46 PM","Money Received",Credit,120.00,Person_37,2025-04
254,2025-04-25,"10:13 PM","Money Received",Credit,1700.00,Person_37,2025-04
255,2025-04-25,"10:18 PM","Person/Merchant Payment",Debit,1700.00,Person_63,2025-04
256,2025-04-26,"11:17 AM","Person/Merchant Payment",Debit,350.00,Person_11,2025-04
257,2025-04-26,"01:58 PM","Person/Merchant Payment",Debit,500.00,Person_45,2025-04
258,2025-04-26,"04:15 PM","Person/Merchant Payment",Debit,150.00,Person_33,2025-04
259,2025-04-26,"04:33 PM","Food & Dining",Debit,30.00,Person_64,2025-04
260,2025-04-26,"06:57 PM","Money Received",Credit,350.00,Person_1,2025-04
261,2025-04-26,"06:57 PM","Money Received",Credit,350.00,Person_65,2025-04
262,2025-04-26,"07:15 PM","Money Received",Credit,350.00,Person_11,2025-04
263,2025-04-26,"07:17 PM","Money Received",Credit,1000.00,Person_11,2025-04
264,2025-04-26,"07:20 PM","Person/Merchant Payment",Debit,900.00,Person_49,2025-04
265,2025-04-26,"07:33 PM","Person/Merchant Payment",Debit,60.00,Person_39,2025-04
266,2025-04-26,"08:14 PM","Person/Merchant Payment",Debit,2000.00,Person_63,2025-04
267,2025-04-26,"10:30 PM","Person/Merchant Payment",Debit,50.00,Person_10,2025-04
268,2025-04-27,"01:56 PM","Person/Merchant Payment",Debit,2850.00,Person_45,2025-04
269,2025-04-27,"08:35 PM","Money Received",Credit,2500.00,Person_66,2025-04
270,2025-04-27,"08:40 PM","Person/Merchant Payment",Debit,2000.00,Person_67,2025-04
271,2025-04-28,"11:26 AM","Money Received",Credit,1000.00,Person_68,2025-04
272,2025-04-28,"11:26 AM","Person/Merchant Payment",Debit,1000.00,Person_11,2025-04
273,2025-04-28,"04:08 PM","Money Received",Credit,20000.00,Person_12,2025-04
274,2025-04-28,"04:09 PM","Money Received",Credit,5000.00,Person_12,2025-04
275,2025-04-28,"04:16 PM","Person/Merchant Payment",Debit,25000.00,Person_7,2025-04
276,2025-04-28,"07:31 PM","Person/Merchant Payment",Debit,2000.00,Person_45,2025-04
277,2025-04-29,"10:09 AM","Money Received",Credit,7000.00,Person_12,2025-04
278,2025-04-29,"10:11 AM","Person/Merchant Payment",Debit,351.00,Person_7,2025-04
279,2025-04-29,"10:11 AM","Person/Merchant Payment",Debit,7000.00,Person_7,2025-04
280,2025-04-29,"10:11 AM","Money Received",Credit,351.00,Person_12,2025-04
281,2025-04-30,"08:03 AM","Person/Merchant Payment",Debit,1000.00,Person_69,2025-04
282,2025-04-30,"08:07 AM","Person/Merchant Payment",Debit,1000.00,Person_28,2025-04
283,2025-04-30,"08:10 AM","Money Received",Credit,1000.00,Person_70,2025-04
284,2025-04-30,"05:12 PM","Person/Merchant Payment",Debit,1000.00,Person_7,2025-04
285,2025-04-30,"05:14 PM","Person/Merchant Payment",Debit,500.00,Person_28,2025-04
286,2025-04-30,"05:29 PM","Money Received",Credit,65.00,Person_15,2025-04
287,2025-04-30,"05:29 PM","Money Received",Credit,65.00,Person_1,2025-04
288,2025-05-01,"10:00 AM","Person/Merchant Payment",Debit,500.00,Person_71,2025-05
289,2025-05-01,"05:25 PM","Money Received",Credit,50.00,Person_15,2025-05
290,2025-05-01,"05:26 PM","Money Received",Credit,50.00,Person_17,2025-05
291,2025-05-01,"05:26 PM","Money Received",Credit,50.00,Person_1,2025-05
292,2025-05-01,"06:21 PM","Money Received",Credit,89.00,Person_11,2025-05
293,2025-05-01,"06:29 PM","Person/Merchant Payment",Debit,340.00,Person_49,2025-05
294,2025-05-01,"06:59 PM","Person/Merchant Payment",Debit,10.00,Person_72,2025-05
295,2025-05-02,"08:57 AM","Money Received",Credit,2000.00,Person_37,2025-05
296,2025-05-02,"09:01 AM","UPI Lite Top-up",Debit,1000.00,Person_4,2025-05
297,2025-05-02,"06:17 PM","Person/Merchant Payment",Debit,6.00,Person_8,2025-05
298,2025-05-02,"10:29 PM","Person/Merchant Payment",Debit,1000.00,Person_11,2025-05
299,2025-05-02,"10:36 PM","Money Received",Credit,500.00,Person_37,2025-05
300,2025-05-02,"11:47 PM","Money Received",Credit,500.00,Person_71,2025-05
301,2025-05-03,"06:19 PM","Money Received",Credit,500.00,Person_37,2025-05
302,2025-05-03,"07:05 PM","UPI Lite Top-up",Debit,1000.00,Person_4,2025-05
303,2025-05-03,"07:06 PM","Person/Merchant Payment",Debit,500.00,Person_7,2025-05
304,2025-05-03,"07:06 PM","UPI Lite Top-up",Debit,500.00,Person_4,2025-05
305,2025-05-03,"09:25 PM","Person/Merchant Payment",Debit,500.00,Person_73,2025-05
306,2025-05-04,"08:46 PM","Person/Merchant Payment",Debit,6000.00,Person_45,2025-05
307,2025-05-05,"12:18 PM","Person/Merchant Payment",Debit,1000.00,Person_58,2025-05
308,2025-05-05,"03:45 PM","Person/Merchant Payment",Debit,50.00,Person_33,2025-05
309,2025-05-05,"07:43 PM","Person/Merchant Payment",Debit,100.00,Person_74,2025-05
310,2025-05-06,"07:28 PM","Person/Merchant Payment",Debit,4000.00,Person_74,2025-05
311,2025-05-06,"08:57 PM","Person/Merchant Payment",Debit,1000.00,Person_28,2025-05
312,2025-05-06,"09:03 PM","Person/Merchant Payment",Debit,1000.00,Person_7,2025-05
313,2025-05-06,"09:55 PM","UPI Lite Top-up",Debit,1000.00,Person_4,2025-05
314,2025-05-06,"09:57 PM","Person/Merchant Payment",Debit,200.00,Person_6,2025-05
315,2025-05-06,"11:27 PM","Money Received",Credit,500.00,Person_37,2025-05
316,2025-05-06,"11:29 PM","Person/Merchant Payment",Debit,500.00,Person_45,2025-05
317,2025-05-07,"11:14 AM","Person/Merchant Payment",Debit,1000.00,Person_28,2025-05
